query_id,best_rank_scorer,Top1_scorer,Top5_scorer,Top10_scorer,Top20_scorer,MRR_scorer,best_rank_blend,Top1_blend,Top5_blend,Top10_blend,Top20_blend,MRR_blend,best_rank_cont,Top1_cont,Top5_cont,Top10_cont,Top20_cont,MRR_cont,best_rank_backoff,Top1_backoff,Top5_backoff,Top10_backoff,Top20_backoff,MRR_backoff
000572d82e6e1c9f,22,0,0,0,0,0.045454545454545456,8,0,0,1,1,0.125,16,0,0,0,1,0.0625,97,0,0,0,0,0.010309278350515464
0005bcb2b3af1002,1,1,1,1,1,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0
000867548b197653,10,0,0,1,1,0.1,40,0,0,0,0,0.025,41,0,0,0,0,0.024390243902439025,144,0,0,0,0,0.006944444444444444
001072e23739a559,1,1,1,1,1,1.0,2,0,1,1,1,0.5,46,0,0,0,0,0.021739130434782608,118,0,0,0,0,0.00847457627118644
0011e3392d04867b,1,1,1,1,1,1.0,1,1,1,1,1,1.0,3,0,1,1,1,0.3333333333333333,3,0,1,1,1,0.3333333333333333
003a1d2ca68a1873,1,1,1,1,1,1.0,2,0,1,1,1,0.5,1,1,1,1,1,1.0,3,0,1,1,1,0.3333333333333333
0044a69d35603a1f,1,1,1,1,1,1.0,1,1,1,1,1,1.0,107,0,0,0,0,0.009345794392523364,107,0,0,0,0,0.009345794392523364
00498a31c88116a3,1,1,1,1,1,1.0,6,0,0,1,1,0.16666666666666666,16,0,0,0,1,0.0625,80,0,0,0,0,0.0125
005017d2fcc07422,1,1,1,1,1,1.0,1,1,1,1,1,1.0,36,0,0,0,0,0.027777777777777776,35,0,0,0,0,0.02857142857142857
0059a82d45f5628d,1,1,1,1,1,1.0,1,1,1,1,1,1.0,2,0,1,1,1,0.5,1,1,1,1,1,1.0
0062e1abbe080811,1,1,1,1,1,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0
0064839ff0b12772,1,1,1,1,1,1.0,7,0,0,1,1,0.14285714285714285,64,0,0,0,0,0.015625,31,0,0,0,0,0.03225806451612903
0068ff2ba5fd9b39,1,1,1,1,1,1.0,1,1,1,1,1,1.0,2,0,1,1,1,0.5,1,1,1,1,1,1.0
006f99dbfe561a27,1,1,1,1,1,1.0,1,1,1,1,1,1.0,2,0,1,1,1,0.5,1,1,1,1,1,1.0
007267cd91f3648a,4,0,1,1,1,0.25,2,0,1,1,1,0.5,13,0,0,0,1,0.07692307692307693,3,0,1,1,1,0.3333333333333333
0079debab215bd3d,1,1,1,1,1,1.0,9,0,0,1,1,0.1111111111111111,6,0,0,1,1,0.16666666666666666,6,0,0,1,1,0.16666666666666666
0083a19c3d85da6a,2,0,1,1,1,0.5,11,0,0,0,1,0.09090909090909091,4,0,1,1,1,0.25,80,0,0,0,0,0.0125
00845d297f065c6f,1,1,1,1,1,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0
